Date,Corn,Oil,Gold
201701,359.75,52.81,1211.40
201702,373.75,54.01,1253.90
201703,364.25,50.60,1251.20
201704,366.50,49.33,1268.30
201705,372.00,48.32,1275.40
201706,381.00,46.04,1242.30
201707,370.75,50.17,1273.40
201708,357.75,47.23,1322.20
201709,355.25,51.67,1284.80
201710,345.75,54.38,1270.50
201711,355.75,57.40,1276.70
201712,350.75,60.42,1309.30
201801,361.50,64.73,1343.10
201802,382.00,61.64,1317.90
201803,387.75,64.94,1327.30
201804,400.75,68.57,1319.20
201805,394.00,67.04,1304.70
201806,359.50,74.15,1254.50
201807,372.25,68.76,1233.60
201808,365.00,69.80,1206.70
201809,356.25,73.25,1196.20
201810,363.25,65.31,1215.00
201811,377.75,50.93,1226.00
201812,375.00,45.41,1281.30
201901,376.50,53.79,1325.20
201902,370.75,57.22,1316.10
201903,356.50,60.14,1298.50
201904,362.50,63.91,1285.70
201905,427.00,53.50,1311.10
